Strategy for uncertainty,Definition,category,Example 1,Example 2,Example 3,Related strategies and aliases,Notes,Note 2,ref-note,reference1,reference2
Conflict stabilization,Prevent a conflict from escaling to higher or less predictible levels,adversarial,Nuclear powers establish a Red Phone to prevent incidents from sparking a conflict,Criminal bosses meet to prevent escalation of street battles,,,,,,https://www.ifri.org/sites/default/files/atoms/files/pp36yost.pdf,https://carnegieendowment.org/2013/02/05/reclaiming-strategic-stability-pub-51032
Consolidate components,Reduce the number of independent agents or degrees of freedom to make it more predictable or manageable,config - org/system,GH Bush urged Ukraine to remain in the USSR to reduce the risk of another government holding nuclear weapons,Automotive engineer designs a car using fewer system delivered by a smaller number of Tier 1 suppliers,,coordinate action,consolidation deliberately removes internal freedoms in the system unlike coordination that reduces it often temporarily,,,https://doi.org/10.1504/IJATM.2015.067093,https://doi.org/10.1057/9781137501646_2
Contest and appeal decisions,"The ability of users to challenge the output with a third party, thus prevent gross errors",formal - algo; config - org,Court system allows decisions to be appealed and overturned by a superior court,Online retailer allows customer to contact a service center about errors in their automatic bills,,,,,,https://dl.acm.org/doi/abs/10.1145/3449180,
Contingency planning,"Establishing thorough plans, procedures, and technical measures that can enable a system to be recovered as quickly and effectively as possible following a service disruption",config - org,An army general develops different defense plans for different enemy attack scenarios,An engineer programming an industrial PLC system develops a response plan for most likely possible faults or equipment malfunction to safety stop the process,,,,,,https://doi.org/10.1145/1940941.1940969,
Coordinate action,Coordinate the response of multiple actors to improve its effectiveness,config - org,Central banks coordinate a response to liquidity shortage by jointly increasing liquidity,An army introduces a network awareness system allowing all officers to see the battlefield in real time,,,"Leaders can often be incredibly effective by coordinating ""we will be driving on the right side"" - no coercion required",,,https://doi.org/10.1016/j.jimonfin.2015.06.009,
Decision template,Make decision following the steps of others or by following a decision algorithm,formal - workflow,"To decide between renting vs. buying, a citizen uses an online calculator from the NY Times","To develop a strategy for their startup, the founders use a template from business school",A doctor uses a decision tree to find the best treatment for a given patient,,"Decision templates can assist others in determining what the decision maker is supposed to do, e.g. an operational plan with branch points",,,https://doi.org/10.47654/v26y2022i1p1-30,
Decoy,Minimize the damage from intelligent hazard by create false targets,config - system,A military pilot deploys a decoy to attract anti-air missiles and deflect them from striking his plane,An airport safety manager uses food to attract birds away from planes and scarecrews to push them out,,decoy is a type of deflection for guided/intelligent adversaries; it might involve either attraction or sometimes repulsion,,,,DeVault (9781421410838),
Deflect,Move the site impacted by the hazard in order to reduce the damage,config - system,A lightning rod is added to a tower to deflect lightning strikes to the metal and away from the masonry,Tandem armor-piercing projectiles are designed to deflect explosive armor so that the secondary charge could survive and penetrate the armor (an example of offensive deflection).,,decoy against strikes,The strategy of a sacrificial part (e.g. fuse) can be seen as a subtype of this strategy,Reducing the production time (Flyvberg) is another example,,https://doi.org/10.1016/j.elstat.2006.07.011,
Delay,Delay the start time of the hazard in order to reduce its effect,config - system,A government cabinet closes borders in response to an outbreak abroad to delay its entry,A government cabinet partially restricts the sales of e-cigarettes pending more information of their potential for addiction,,,,,,https://doi.org/10.1098/rsta.2023.0134,
Delegate control,Delegate authority to local agents or stakeholders to select among alternatives within an overall mission,config - org,An investor seeks a manager/executive who use insights to make investment or management decisions,A general gives officers the authority to take local initiative to achieve their high-level goals (Mission Command),,,,,,https://doi.org/10.1080/14751798.2011.578715,
Denial strategy,Denying options to an adversary to reduce uncertainty about their action,adversarial,A general destroys the enemy's stockpile of missiles limiting it's ability for long range strikes,A tech executive pays the best engineers generously to prevent them from launching competing products,,,,,,Wirtz (9781351487962),
Diagnosis of exclusion,Establish the root cause of a pathology or anomaly by excluding all the alternatives,format - workflow,Doctor establishes a diagnosis by removing other possibilities,A detective identifies a suspect by finding an alibi for other suspects,,,,,,https://doi.org/10.1016/j.shpsc.2016.09.003,
Dispersed storage,Disperse a critical resource to multiple sites in order to prevent a single event from causing total loss,config - system; adversarial,A general disperses his ammunition to multiple sites to prevent their loss to a single enemy attack,An investor places his funds in multiple banks to prevent a single banking failure from destroying his wealth,A cloud engineer replicates the data to multiple data centers to prevent data loss,,"In physical goods, the material is physically divided. For information or virtual goods, the dispersion involves replication.",,,,
Early warning system,Predict and detect possible hazardous events and help minimize their devastating impact,reactive - ID,Gov intelligence service warns of an attack allowing the military to be mobilized,Meteorogist reviews the track of hurricanes and alerts if it will approach land,,honeypot,,,,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=1072&context=jto,
Eliminate input variables,Reduce uncertainty about a plan or system but eliminating variables affecting its operation or reducing their variability,config - system,Software developer gives users only a limited number of options to control and the rest are fixed or accessible to power users only,A car factory manager reduces uncertainty about daily output by holding an inventory of components with variable supply,,Managerial assumptions is somewhat the organizational version of this strategy,Related to firewalling but here certain parts of the system or its inputs are filtered while allowing others to be unmodified,,,,
Event forensics and attribution,"Determine the type of an event and reduce uncertainty about its perpetrators, nature and consequences",reactive - ID; adversarial,A nuclear forensics team specializes on finding the likely maker of nuclear materials used in an explosion,A cyber forensics teams helps reduce uncertainty about the actor responsible for attacks,,,,,,https://www.jstor.org/stable/23056914,https://ssrn.com/abstract=2835719
Event tree analysis,Find risks by exploring events and their consequences to the system,formal - workflow,Medical engineers use ETA to analyze the safety of the defibrillator device,It is used to evaluate the reliability analysis of power system and failure outcomes,,,,,,10.1016/j.anucene.2018.05.027,10.1016/j.psep.2009.07.003
Evolvable design,An approach to design and development that focuses on creating systems that can be easily changed and adapted over time,config - system,A system architect stores data in a more portable format to ensure it can be easily retrieved in the future,An engineer designs a factory to make it easy to add new production lines if the demand grows,"Due to concerns about unplanned expenditures, a financial officer places cash only in highly liquid bonds","hedging, optionality and evolutionary architecture","This is typical for problems with multiple decision steps (design step, re-design step)","This subsumes two ideas: simple versatility (e.g. extra production capacity, related to real options) and ""meta-versatility"" i.e. architecture designed to be flexible (e.g. using easy-to-scale architecture)",https://doi.org/2017,10.1016/j.aei.2012.05.006, Ford Parsons Kua  https://books.google.com/books/about/Building_Evolutionary_Architectures.html?id=pYI2DwAAQBAJ
Exhaustive analysis of all actions,Systematically evaluate all action alternatives,formal - workflow,A company opening a new office evaluates all properties currently on the market assuming normal trends for costs and benefits,A firm looking for a vendor for laptops evaluates all vendors on the market,,,"unlike scenario planning, this involves primarily benefits",Included in RDOT when it helps evaluate alternatives,,,
Expansive analysis,"Perform detailed analysis of options involving data collection, modeling and other means",formal - workflow,"In evaluating a new facility for storing hazardous waste, an environment manager orders a detailed geological study to evaluate environmental impacts","In response to rising sea levels near Florida, a government scientist develops a comprehensive model of flooding risk",,,,,,,
Expert elicitation and judgment,Convene experts in the phenomenon and ask for their recommendation,formal - workflow,"In determining how to turn around a failing firm, the board hires management consultants",A court asks a forensic consultant to determine if the DNA evidence is valid,,Delegation of a decision can be viewed as a case of expert judgement - the delegate is usually more informed or better able to negotiate,,,,https://epubs.siam.org/doi/pdf/10.1137/1.9780898718485.fm,https://pubsonline.informs.org/doi/10.1287/deca.2023.0073
Factor of safety,Design the system to be stronger than strictly necessary in order to make it survive unexpected events,config - system,An engineer add a margin of safety to structures and machine to survive unexpected stresses,A bank risk officer opens credit facilities with other banks that are larger than strictly necessary just in case extra liquidity is needed,,,see Flydberg on modular construction and cost,,,https://doi.org/10.1016/j.compgeo.2006.03.007,
Fail-safe design,a design that in the event of a fault fails in a safe way or degrades gracefully,config - system,An air-dropped bomb cannot be accidently detonated on the ground because its detonator is armed only once it falls,A passively-safe reactor core cannot explode because by design when it overheats the nuclear reaction stops,,,"Related idea: Restart reservoir - the ability of the system to go into safe mode and then go back to normal operation - common in computing, but also found in biology where some environments are reservoirs from which the species can recover from a bad season",,,https://books.google.com/books?id=x4Ft7H_2Ik0C&newbks=1&newbks_redir=0&dq=failsafe+design+engineering&source=gbs_navlinks_s,
Failure mode and effects analysis,Failure modes and effects analysis (FMEA) is a bottom-up (inductive) analysis approach to evaluate all the component failure and predict the impact of these failures,formal - workflow,Nuclear designers evaluate a nuclear reactor subsystems for possible failure modes and effects,Rail engineers evaluate rail-road crossing control system (RCCS),,,,,,10.1016/j.anucene.2018.05.027,United States. Mil-Std-1629: (2000). Standard: Failure Mode and Effect Analysis.
Fault tree analysis,A formal approach for resolving the basic causes of a given undesired event,formal - workflow,An aerospace engineer uses FTA to identify the likely cause of an explosion in a fuel tank,"Similarly, for exploring failures in a power plant",,,FTA operates backwards from a known undesirable event while ETA moves forward to possible undesired events,Related term is Root Cause Analysis,,https://research.utwente.nl/en/publications/fault-tree-analysis-a-survey-of-the-state-of-the-art-in-modeling--2,https://apps.dtic.mil/sti/citations/ADA354973
Find good enough solution,Explore and reject actions until a solution is found that satisfies all constraints,formal - algo,"In ordering food at a new restaurant, a customer with a food alergy asks about different options until finding one that does not have the allergen","In selecting a present, wife buys her husband a book about history, because he generally enjoys books about history",,,"The strategy's core idea is to abandon the search for an optimum, and instead find something that will be meet a threshold of performance",,,https://doi.org/10.1093/bjps/XVI.63.169,https://doi.org/10.1155/2012/140679
Firebreak/compartalized design,"Compartmentalize an at-risk system to prevent damage from spreading, or create firebreaks in an existing system",config - system,A forest manager builds roads in a forest to create firebreaks,"A ship is designed in water-tight bulkheads so that any flood, fire or hazard could be contained within a single compartment and prevent catastrophic effects",,"related to a lifeboat and sacrificial part, except that a lifeboat is a purpose-built escape solution and generally not able to protect the bulk of the system; sacrificial part is usually sacrificed rather than withstands",,,,https://doi.org/10.3390/jmse11030546,
Game-theoretic analysis,Use game theory to analyze actions and risk of actions of other players,adversarial,A diplomat plans a strategy of moves and offer in order to achieve a favoriable settlement,A chain of car gas stations uses game-theoretic analysis to set prices in the face of competition from other chains,,,,,,https://doi.org/10.1257/jel.20211571,
Gather data,Collect data about the unknown,enabler,"In developing his attack plan, a military commander conducts detailed reconnaissance of the enemy",A software vendor conducts market research ahead of developing a new product,An engineers uses a detailed model to collect data and estimate the probability of anomalous events,,,,,https://doi.org/10.1111/j.1539-6924.1999.tb00395.x,
Grow the funnel,Increase the number of favorable outcomes by increasing the number of trials,harnessing,An e-commerce site grows the number of followers in order to ensure that enough will eventually buy,A clinical trial enrolls a large number of participants to ensure a sufficient statistical power,,,Most of the example depend on the law of large numbers. The clinical trial example is also dependent on N but in a more statistical sense.,,,10.1145/2783258.2788578,
Hazard and operability study,"A hazard and operability study (HAZOP) is a structured and systematic examination of a planned or existing process or operation in order to find and evaluate problems that may represent risks to personnel or equipment, or prevent efficient operation",formal - workflow,An independent engineering team conducts a HAZOP on a proposed train station,A chemical engineering team evaluates the operations of a plan 5 years after it was commissioned,,,"Related: WHIPP or Walkdown Hazard Identification for Plant and Process is a hazard identification technique which can be applied to chemical plants, but with modification can be tailored for many industry types.",,,https://doi.org/10.4028/www.scientific.net/AMM.854.52,"Redmill, F, Chudleigh, M and Catmur, J, April 1999, System Safety: HAZOP and Software HAZOP, Wiley, ISBN 0471 98280 6"
Heuristic solution,Apply a heuristic on-the-spot to select a solution ignoring uncertainty,formal - workflow,"A student selects a field of study in college based on the most inspiring course in high school, ignoring uncertainty about career outcomes",An algorithmic trader sells half of any position once its value doubles,,,,,Gigerenzer,https://doi.org/10.1057/9781137442505_3,
Hypothetico-deductive method,a scientific method that uses inductive reasoning to make predictions and then tests those predictions with experiments,formal - workflow,"To establish the diagnosis of a patient, a doctor proceeds through differential diagnosis and workup of his patient",A scientist that observes an unexplained reading develops a series of theoretical explanations and tests them with further experiments,,,"Related: An intelligence officer receiving data, attempts to formulate hypotheses about the enemy's plans",,Godfrey-Smith 2021,https://books.google.com/books?id=h3AyEAAAQBAJ&newbks=1&newbks_redir=0&dq=theory+and+reality+godfrey&source=gbs_navlinks_s,
Incident investigation,Establish a unit or agency responsible for investigating incidents to drive preventative measures,formal - workflow,Regulators established agencies to investigate air crashes,The CDC is responsible for investigating outbreaks of diseases and determine their causes,,,,,,978-87-91831-64-5,10.1016/j.ssci.2017.09.018
Incident response unit,Establish a team dedicated to responding rapidly and effectively to hazards,config - org; reactive - response,City creates a SWAT team for fast response to violent attacks,CISO creates a cyber response unit to focus on responding to intrusions,,,,,,10.1109/MSP.2014.89,
Increase system transparency,"Share the design and current state of a system with users, operators and third parties to reduce their uncertainty",config - org/system,Engineers reactors operators more information about the system to help them better see and respond to faults,New AI software for planning intentory levels provide explanations for its predictions (XAI) allowing users to determine if its predictions are caused by faulty inputs or not,US Federal Reserve bank provide minutes of their meetings to financial markets,,,,,http://dx.doi.org/10.2139/ssrn.677434,
Incremental development,"Rather than building the entire solution, construct the solution incrementally, adding new features to learn about risks",enabler,A startup founder introduces a minimal viable product (MVP) to gauge demand and identify problems,"A software engineer uses Agile increments, presenting the results to stakeholders every two weeks",,,,,,https://doi.org/10.1109/CICT.2016.135,
Independent auditors,Use of an independent organization to review safety and risks,formal - workflow,Chemical manufacturer contracts with a specialist firm to review a new design for hazards,A firm sends its accounts for audits with an independent accounting firm,,certification,,,,https://doi.org/10.1016/j.jlp.2016.07.001,https://www.nature.com/articles/s42256-021-00370-7
Independent certification,Require all technology and/or operators to be certified by an organization unrelated to their employer,formal - workflow,Doctors are certified by medical associations,Pilots are certified by government agencies or companies sponsored by them,Electrical devices are certified by Underwriters Labs and others,,,,,https://doi.org/10.1016/j.jdeveco.2015.03.007,
Index building,"Develop an index (a random variable) to describe the uncertain quantity in order to enable securitization, anomaly tracking etc",enabler,A financial firm develops an index of healthcare costs in order to enable firms to hedge against future cost increases,Scientists develop a measure of global temperatures to enable planning for climate change,,enablement,,,,https://doi.org/10.2469/faj.v45.n4.61,
Index-driven decisions,"Using an index of the phenomenon, estimate measures of volatility to drive the response",formal - algo,Investor calculates the price volatility of a stock and compares it to his existing investments without fundamental research into its pricing,"To determine if their pandemic control strategy is working, the health department is monitoring the number of weekly cases",A farmer decides to reduce sales of his harvest in anticipating of prices recovering to their long-term average,Index-building is used when the index is not yet available,,,,https://doi.org/10.1002/9781119620785,
Insurance & financial instruments,Use contracts or financial instruments to indemnify against possible losses,config - system,An investor buys options to limit to create a floor to losses on a risky stock,A real estate investor purchases an insurance contract for any flood risks,,,"Originally: transferable risk. Risk-based contracts such as contracts to salesmen, salary vs. hourly are all part of risk-reduction strategies but in an everyday sense - they also incentivize performance",,,Abdel-Khalik (9780415808934),
Kill switch,A device or process that quickly shuts down a system,config - org/system,scram a reactor,stop a train,AI kill switch,,,,,https://doi.org/10.48550/arXiv.2310.20563%20Focus%20to%20learn%20more,
Knowledge dissemination,Condense and communicate existing knowledge to all members of the group in order to make them more effective,enabler,A manager introduces training about cyber threats to all members of his team,A veteran soldier shares combat experience with newly-drafted soldiers,,,Novel - this is very common but worth stating - a strategy often missed,,,https://doi.org/10.1093/acprof:oso/9780199259281.003.0003,
Lifeboat subsystem,"Implement a subsystem that can protect human users from the disaster, or generally, prevent total loss",config - system,"A naval engineer adds lifeboats so that if the ship sinks, at least the people can survive",An investor keeps a small amount of savings in cash in case of a catastrophic financial event,,firebreak; sacrificial part,,,,https://doi.org/10.1109/OCEANS.2014.7003297,
Long vega,Invest in assets that benefit from increased volatility,harnessing,An investor purchases options that would rise in value of volatility increases,"At a sailboat race, the captain selects a course that experiences stronger and more variable winds to gain a chance to beat the frontrunners",,,,,,https://doi.org/10.3390/e25020343,
Managerial assumption,Manager or commander reduces uncertainty by imposing limits or assumptions on his unit,formal - workflow,Engineers for the lunar lander in Apollo were told to assume that lunar surface would resemble the California desert,A CEO orders search for new corporate acquisitions in the next fiscal year,,,,,,Isaacson (9781761422621),
Maximization of expected utility,Select between actions using estimated probability of events and their outcomes,formal - algo,A manager selects an industrial machine from different vendors with different costs and failure probabilities,"A college students selects a career based on expected salary, interest and probability of success",,,,,,https://doi.org/10.1086/257308,
Mechanistic modeling,a type of mathematical modeling that uses known physical principles to describe the behavior of a system and forecast its state,formal - algo,A process engineer develops a detailed model of a factory to predict the likelihood of process disruption in the next 7 days,A supply chain manager develops a stock-and-flow model of a supply chain in order to optimize purchases and inventory levels,,,,,Velten 2009,https://www.google.com/books/edition/Mathematical_Modeling_and_Simulation/_B1fbVnM5uQC?hl=en&gbpv=0,https://esajournals.onlinelibrary.wiley.com/doi/10.1890/0012-9658%281999%29080%5B1789%3AWDPCAS%5D2.0.CO%3B2
Meta-learning of unknowns,Identify gaps in knowledge in order to prioritize their closure or ensure safe degradation,enabler,A scientist finds gaps in the scientific literature,Intelligence agency or business strategies identifies gaps in its knowledge of the enemy/competitors,,,,,,https://doi.org/10.48550/arXiv.2106.11119,
Minimize area or time of impact,Shape the impacting event or the threatened system to minimize the area or time of impact,config - system,A cybersecurity officer minimizes the number of access methods to sensitive data or network to reduce the risk of a successful penetration,"An army general plans a withdrawal to occur as rapidly as possible, to reduce the risk of an enemy attack during this sensitive time window when defenses are abandoned.",,deflect,related to deflect another example is the idea of blast compartment - do all dangerous work in a special hardened place,,,https://doi.org/10.4018/IJRCM.2015070101,10.1109/TSE.2010.60
Misdirection/Deception,Cause the adversary to make incorrect action by creating a false impression of own action,adversarial,An officer installs decoy targets in order to cause the enemy to waste his attacks and thus protect the true assets,A poker player uses bluffs to make the other players fold rather than risk a showdown,,,Not a response to uncertainty,Not a response to uncertainty,,https://www.jstor.org/stable/26202009,Wirtz (9781351487962)
Modular design,Use independent modules in order to make the system easier to build and repair,config - system,A software engineer designs uses the microservices archives so that the software could be easily updated,"Napoleon divides his army into independent divisions, giving the army greater agility under changing conditions on the strategic map (e.g. pursue enemy forces along independent axes)",,Modular design is usually selected for efficiency and simplicity rather than safety (see firebreak),,,,https://doi.org/10.1016/S0029-5493(97)00031-9,
Multi-layer defense,Design a system to absorb or respond to threats using multiple layers of defensive barriers,config - system,A general builds multiple lines of trenches so that in event of an enemy breach he can withdraw to a new line of defense,A stock exchange use a waterfall of pools of capital to ensure all contracts are paid in any bankruptcy events,Business uses a three-lines of defense model to manage risks from operations,Related to robust design or what could be called redundant design; Sometimes called defense-in-depth; multi-echelon defense,Another example is the swiss cheese model of pandemic preparedness,,Nunez-Paz et al 2011,https://www.tandfonline.com/doi/abs/10.1080/19361610.2011.580283,https://www.cmegroup.com/clearing/risk-management/financial-safeguards.html
Operator checkrides,Require all new operators to be evaluated by an experienced co-pilot,formal - workflow,Regulators allow pilots to fly only after completing a checkride with an instructor,A hospital manager only allows residents to prescribe after completing 6 months are a hospital under supervision,,,,,,https://doi.org/10.1007/978-3-319-97301-2_8,
Opportunity discovery,an organizational unit or process whose role is collect and priority opportunities for gains,harnessing; config - org,military intelligence reports gaps in enemy readiness that could be exploited,an executive establishes a process to collect and prioritize new ideas,the market intelligence unit identifies market opportunities for the business,,,,,Sharp: Competitive Advantage (978-0470293171) https://www.google.com/books/edition/Competitive_Intelligence_Advantage/El0tzMWKXaMC,
Optimization of total outcome,Decide by maximizing the total welfare,formal - algo,An aircrew scheduling algorithm maximizes the total utility over all the crew members weighted by rank,An algorithm allocates antivirals to hospitals to maximize the total value but accounting for fairness,,,,,,https://doi.org/10.1007/s10479-023-05264-y,
Perimeter detection and response,Prevent damage from hazards by establishing a perimeter and detect threats as soon as they reach the perimeter,reactive - ID,A wilderness leader establishes a fence against wild animals around his camp connected to an alarm system,new cybersecurity software uses endpoint detection and response to detect threats on devices connected to the network,,early warning (but at the point of contact),not sure if this is a solution for uncertainty,,,https://doi.org/10.1201/1079/43273.29.5.20011101/31414.1,
Poll and aggregate,"Collect data from experts and stakeholders and select action supported by a qualified majority, to reduce the risk of a mistake",formal - workflow,A venture capital firm's investment committee vote on investing in a new firm,A politician meets with constituents and selects which policy he will support,,,,,,https://doi.org/10.5465/ame.1991.4274682,
Portfolio rebalancing,Systematically adjust a portfolio of items to avoid excessive risk,formal - algo,An investor maximizes returns by partially selling appreciated assets while buying assets that decline in value,A general invests more resources in an offensive thrust that made more progress,,,,,,https://doi.org/10.1080/00036846.2015.1088139,
Post-release monitoring,evaluate the system after its release to detect unexpected or dangerous behaviors,reactive - ID,A car maker monitors any fatal accidents on a new car model to detect any faulty components,A pharmaceutical is monitored after marketing in phase 4 studies to observe any potentially dangerous side effects not caught in its development,,anomaly detection,,,,https://doi.org/10.1080/01947648.2013.800797,
Pre-release testing,evaluate the system before its deployment to detect unexpected or dangerous behaviors,formal - workflow; config - org,A software engineer implements automatic testing to detect errors,A pharmaceutical is tested in a clinical trial to determine if it has unacceptable side effects,,"post-release monitoring, prototyping",,,,https://doi.org/10.1109/ICSM.2011.6080792,
Precautionary principle (maximin),Invest in preventing the worst case outcome regardless of its probability,formal - workflow,A government regulator bans a new product to prevent the possibility of it becoming a large health problem,A dominant firm acquires even the smallest competitor firms to prevent the possibility of any one becoming a serious challenger,,,,,,https://doi.org/10.2202/1539-8323.1091,
Probabilistic risk management,Develop a probabilistic model of the risks and develop strategies to mitigate it efficiently,formal - algo,A risk officer in a bank develop a model of financial risks and build a risk management strategy,Nuclear reactor engineers identify the risk of different events and developing solutions to reduce them,,,,,,https://doi.org/10.1111/j.1539-6924.2011.01590.x,
Prototype-driven development,"Build a simple version of a complex solution in order to reduce risks and complexity, then progress to a more sophisticated version (or potentially a series thereof)",formal - workflow; enabler,An architect uses a physical model to evaluate the proposed structure for light and walkability,An aeronautical engineer builds and tests a new risky propulsion technology in order to ultimately use it in missions,,,"Flyvberg's discussion of separating a large project into repeatable modules. Often simplification can be done purely for research (this is a separate strategy under research) - here simplification is used to reduce risk. Conscious risk reduction in spiral development, MVP, simulation.",,,https://doi.org/10.1287/mnsc.47.2.308.9838,
Questioning attitude to anomalies,Staff are trained to question anomalies rather than merely check off boxes,config - org,Industrial equipment operators are trained to take action if they see anomalous signs,Riders in public transit are trained to contact authorities if they see suspecious objects,,,,,,https://doi.org/10.1002/9781119443070.ch28,
Randomization of moves,Deliberately randomize actions in order to avoid being anticipated by an adversary,adversarial,A security officer randomly selects a route to transport a VIP at risk of assassination,A general deliberately makes unpredictable moves in order to keep the enemy off balance and unable to carry its own surprises,,,Randomization can be both a response to uncertainty and a strategy to win using uncertainty,,,https://doi.org/10.1287/inte.1100.0505,
Rapid identification after event,"If unable to prevent adverse events, develop the capability to detect them rapidly in order to respond as quickly as possible and reduce ultimate damage",reactive - ID,Software rapidly detects cyber-penetrations into the network to minimize the number of systems affected,Epidemiologists sequence the genomes of COVID-19 samples in order to detect the emergence of dangerous new variants and implement timely containment measures,,,,,,https://doi.org/10.1385/1-59259-764-5:509,
Real options,Invest resources in obtaining a positive risk,harnessing; enabler,An executive invests in developing a prototype product for a small but growing market,A transportation planner asks for a new airport able to accomodate 100% growth in air traffic,An investor purchases a call option for a promising stock (an example of a financial real option),,,,,https://doi.org/10.1002/smj.2593,https://doi.org/10.1080/24725854.2021.1973154
Red teaming,Discover risks by establishing a unit responsible for ethically attacking the system,formal - workflow; adversarial,An information officer hires a red team to attempt to penetrate his company,A red team in a military tabletop exercise attempts to play the enemy's side and find weaknesses in the own side's plans,,,,,,https://doi.org/10.1016/S1361-3723(18)30097-6,
Regulate by limiting,Set limitations on risky activities in order to reduce risk,config - org,A government regulator bans a new product to prevent the possibility of it becoming a large health problem,A corporating bans work with certain clients to reduce risk to its reputation,,,,,,https://www.jstor.org/stable/1600132,
Regulate by process,Establish processes and guidelines for doing risky activities in order to prevent accidents and other unwanted outcomes,config - org,Military planners require multiple officers to approve the launch of a nuclear weapon to prevent accidental or malicious launch,"A software engineering manager requires all changes of the live system to go through an approval process, to reduce the risk of breaking changes",,,,,,https://doi.org/10.1080/13669877.2011.587886,
Reinforcement learning,"Iteratively try different actions (manually or algorithmically), measure the outcomes and optimize the actions",formal - algo,A trading algorithm examines the rewards from different trading rules and adjust them to improve their profitability,"An online store uses A/B testing to select the optimal design - users see either version A or B of the site, until it's clear which version has a higher conversion rate",,,Maybe more general - sequential decision,,Sutton and Barto 2018,https://www.google.com/books/edition/Reinforcement_Learning_second_edition/uWV0DwAAQBAJ?hl=en&gbpv=0,10.1007/978-981-15-4095-0_2
Resilient design,"System designed to absorb, respond to, and recover from disasters and adapt to new conditions",config - system/org,A community planner develops a response plan for a community at risk of hurricanes,An electrical engineer designs a power plant develops special control program for weather emergencies allowing the plant to quickly shut down and then quickly restart,,,,,Ganin et al 2016,https://link.springer.com/content/pdf/10.1038/srep19540.pdf,
Risk and control matrix,A technique for risk management that involves building a grid of undesirable events as rows and corresponding controls that could mitigate them,formal - workflow,A technology manager uses RACM to identify cyberattacks and plan controls,A corporate auditor builds a RACM for risks to the organization and controls,,,,,,https://doi.org/10.1016/j.jaccedu.2019.100639,
